index,Type,Core_Density,BiC A,BiC B,CC AB,F1,F1_Individual_Nodes_Considered,Team_Strength,Number_of_Self_Activations,Self Activation Status,Team Size
Density 32%_Without Self Activation_Network_81,Lowered Density,Density 32%,0.6204673735617761,0.6265909944065569,-0.946650699485108,0.6000126598303582,0.1686922395239903,0.392,0,Without Self Activation,5.0
Density 32%_Without Self Activation_Network_82,Lowered Density,Density 32%,0.6851372467374991,0.7110538299371524,-0.9384066614037812,0.6765408504538939,0.1918299092212135,0.422,0,Without Self Activation,5.0
Density 32%_Without Self Activation_Network_83,Lowered Density,Density 32%,0.6497222802224573,0.6230635791112474,-0.947093228670148,0.6208053691275168,0.1586968680089485,0.371,0,Without Self Activation,5.0
Density 32%_Without Self Activation_Network_84,Lowered Density,Density 32%,0.6849883006046185,0.6587133981085526,-0.943800228486545,0.658597710314974,0.1859657116819502,0.4040000000000001,0,Without Self Activation,5.0
Density 32%_Without Self Activation_Network_85,Lowered Density,Density 32%,0.652621059944781,0.6602404821592864,-0.9094189189785556,0.5730320484418845,0.1119972431447841,0.311,0,Without Self Activation,5.0
Density 32%_Without Self Activation_Network_86,Lowered Density,Density 32%,0.7533839511066206,0.7316712701856928,-0.9380746935303764,0.7566537425248078,0.2275087073667608,0.429,0,Without Self Activation,5.0
Density 32%_Without Self Activation_Network_87,Lowered Density,Density 32%,0.6192489391118051,0.6825840948880638,-0.9415381817058792,0.6250073724565025,0.1725154821586552,0.374,0,Without Self Activation,5.0
Density 32%_Without Self Activation_Network_88,Lowered Density,Density 32%,0.6432775982891809,0.6263837851050105,-0.9413304799610523,0.5994623655913979,0.1452667088340712,0.4210000000000001,0,Without Self Activation,5.0
Density 32%_Without Self Activation_Network_89,Lowered Density,Density 32%,0.6301549073095454,0.6582347892786199,-0.9373042990103764,0.6244731047499213,0.1537590437244416,0.3390000000000001,0,Without Self Activation,5.0
Density 32%_Without Self Activation_Network_90,Lowered Density,Density 32%,0.683102084994368,0.6972030711527147,-0.944275541913062,0.6857085588294247,0.1886817665530834,0.4050000000000001,0,Without Self Activation,5.0
Density 32%_Without Self Activation_Network_91,Lowered Density,Density 32%,0.7247288153872316,0.7196515404117804,-0.9368135152922544,0.7364351600651112,0.234264785675529,0.4020000000000001,0,Without Self Activation,5.0
Density 32%_Without Self Activation_Network_92,Lowered Density,Density 32%,0.6082659983424705,0.6143666005884763,-0.9517990886562578,0.5898287312128626,0.1530350693230805,0.404,0,Without Self Activation,5.0
Density 32%_Without Self Activation_Network_93,Lowered Density,Density 32%,0.7656564137814106,0.7641134022589207,-0.9312940246339522,0.7811521176630805,0.2437695764673839,0.4260000000000001,0,Without Self Activation,5.0
Density 32%_Without Self Activation_Network_94,Lowered Density,Density 32%,0.6004010858249245,0.6181841527240081,-0.944407630867649,0.5960897142483489,0.1540574118877918,0.4030000000000001,0,Without Self Activation,5.0
Density 32%_Without Self Activation_Network_95,Lowered Density,Density 32%,0.6884095847187255,0.6021448419680737,-0.9445882550984424,0.6195813172706626,0.1689049076725585,0.3640000000000001,0,Without Self Activation,5.0
Density 32%_Without Self Activation_Network_96,Lowered Density,Density 32%,0.6340652130235025,0.6400953939425187,-0.9331190872892012,0.5860144965323043,0.1296866037440684,0.297,0,Without Self Activation,5.0
Density 32%_Without Self Activation_Network_97,Lowered Density,Density 32%,0.6260810805349099,0.610781588769606,-0.9247472263597136,0.549628123495104,0.1078709401252073,0.296,0,Without Self Activation,5.0
Density 32%_Without Self Activation_Network_98,Lowered Density,Density 32%,0.7229449176161893,0.742292649750927,-0.9392925255567076,0.7484353643622761,0.2347313142939356,0.415,0,Without Self Activation,5.0
Density 32%_Without Self Activation_Network_99,Lowered Density,Density 32%,0.5549794640770815,0.5369335185762582,-0.9398664322523872,0.4913128733640385,0.1402252724702448,0.333,0,Without Self Activation,5.0
Density 40%_Without Self Activation_Network_0,Lowered Density,Density 40%,0.7470999944373982,0.7687417801344911,-0.9358846704839024,0.7740986019131715,0.3062913907284768,0.301,0,Without Self Activation,5.0
