index,Type,Core_Density,BiC A,BiC B,CC AB,F1,F1_Individual_Nodes_Considered,Team_Strength,Self Activation Status,Team Size
Density 52%_With Self Activation_Network_78,Lowered Density,Density 52%,0.8648193468221153,0.8883067731521163,-0.874060645600395,0.8882456788602866,0.7231596666256107,0.95,With Self Activation,5.0
Density 52%_With Self Activation_Network_79,Lowered Density,Density 52%,0.9008666750880316,0.8947507015930051,-0.8497034183484126,0.91081519120417,0.7745411537956108,0.9499999999999998,With Self Activation,5.0
Density 52%_With Self Activation_Network_80,Lowered Density,Density 52%,0.8167690117658024,0.8161212394113819,-0.8990618905987945,0.8107461553066262,0.6899943041579647,0.9469999999999998,With Self Activation,5.0
Density 52%_With Self Activation_Network_81,Lowered Density,Density 52%,0.8812758869497318,0.8945766363697466,-0.8624676326236739,0.8985788950801261,0.7834218824240854,0.9509999999999998,With Self Activation,5.0
Density 52%_With Self Activation_Network_82,Lowered Density,Density 52%,0.9188648523582792,0.9392992676814036,-0.8406682645639025,0.9493137166950748,0.7825423880864807,0.9479999999999996,With Self Activation,5.0
Density 52%_With Self Activation_Network_83,Lowered Density,Density 52%,0.9104210821950086,0.9033133072466458,-0.8373761233275551,0.9131961640628518,0.7938859123857548,0.9479999999999998,With Self Activation,5.0
Density 52%_With Self Activation_Network_84,Lowered Density,Density 52%,0.9062805681932692,0.8796485535253947,-0.8630052487509202,0.900251256281407,0.7432998324958124,0.946,With Self Activation,5.0
Density 52%_With Self Activation_Network_85,Lowered Density,Density 52%,0.9138505817836144,0.9101198507309078,-0.8265268251187456,0.9231752407906147,0.8185055005249464,0.9489999999999998,With Self Activation,5.0
Density 52%_With Self Activation_Network_86,Lowered Density,Density 52%,0.9358184655030116,0.936558693494976,-0.8161809190816522,0.9502459326522892,0.8233068482784714,0.9469999999999998,With Self Activation,5.0
Density 52%_With Self Activation_Network_87,Lowered Density,Density 52%,0.850521671714151,0.8414938019742886,-0.9007794913719476,0.8568335695166116,0.6793418359313494,0.9479999999999998,With Self Activation,5.0
Density 52%_With Self Activation_Network_88,Lowered Density,Density 52%,0.9056880833008376,0.910942966332996,-0.8663338242015749,0.9355792722129356,0.7349877844927349,0.945,With Self Activation,5.0
Density 52%_With Self Activation_Network_89,Lowered Density,Density 52%,0.8884335277433578,0.8689415552397598,-0.8608494086254265,0.8900558197229688,0.724622700020674,0.9489999999999998,With Self Activation,5.0
Density 52%_With Self Activation_Network_90,Lowered Density,Density 52%,0.9455097656797632,0.9458437327786618,-0.8243698883963178,0.9654650392657772,0.8248651717286404,0.948,With Self Activation,5.0
Density 52%_With Self Activation_Network_91,Lowered Density,Density 52%,0.9028331176009292,0.8997952298321357,-0.8330304389459573,0.910597372104574,0.8166794599720052,0.9519999999999996,With Self Activation,5.0
Density 52%_With Self Activation_Network_92,Lowered Density,Density 52%,0.8899880329932144,0.9008585066850862,-0.8483433499573115,0.9040847067162856,0.7849548112706007,0.9509999999999998,With Self Activation,5.0
Density 52%_With Self Activation_Network_93,Lowered Density,Density 52%,0.920255928073892,0.9144552604799288,-0.8528663468144356,0.9389560343317568,0.7651077246452969,0.9489999999999996,With Self Activation,5.0
Density 52%_With Self Activation_Network_94,Lowered Density,Density 52%,0.8860881276717709,0.8858105045107028,-0.8617262018691377,0.904058406699592,0.7616491303414216,0.9509999999999998,With Self Activation,5.0
Density 52%_With Self Activation_Network_95,Lowered Density,Density 52%,0.9054319678646636,0.9287236834003048,-0.8479463917786593,0.935439621222178,0.7914066994114783,0.9489999999999998,With Self Activation,5.0
Density 52%_With Self Activation_Network_96,Lowered Density,Density 52%,0.9004284944938308,0.9149264842301944,-0.8618037476947802,0.9164050741775962,0.757944528058482,0.9499999999999996,With Self Activation,5.0
Density 52%_With Self Activation_Network_97,Lowered Density,Density 52%,0.9243742930971124,0.9279924550251112,-0.8215621266105556,0.9431416639897204,0.821440044054885,0.9519999999999996,With Self Activation,5.0
Density 52%_With Self Activation_Network_98,Lowered Density,Density 52%,0.912603273990264,0.921216453222702,-0.8394033312397127,0.9396646569555076,0.7849315671346213,0.9519999999999996,With Self Activation,5.0
Density 52%_With Self Activation_Network_99,Lowered Density,Density 52%,0.8628918686930082,0.8676489973770682,-0.8748348095797313,0.8617073369786991,0.7259038602791154,0.948,With Self Activation,5.0
Density 60%_With Self Activation_Network_0,Lowered Density,Density 60%,0.9439940324305384,0.9429790390218398,-0.8002068413928938,0.9557263425904098,0.8796737234193032,0.96,With Self Activation,5.0
Density 60%_With Self Activation_Network_1,Lowered Density,Density 60%,0.8722153788381544,0.8862198315379617,-0.861698838143202,0.891620206115898,0.7871262037506336,0.96,With Self Activation,5.0
Density 60%_With Self Activation_Network_2,Lowered Density,Density 60%,0.940579515708493,0.9401120362399008,-0.8095003677921168,0.9540013196342728,0.8621453482891884,0.959,With Self Activation,5.0
Density 60%_With Self Activation_Network_3,Lowered Density,Density 60%,0.954838537303128,0.9561936748803364,-0.7972601688023034,0.9689851437391472,0.882307543893498,0.9599999999999996,With Self Activation,5.0
Density 60%_With Self Activation_Network_4,Lowered Density,Density 60%,0.9557638108196904,0.9553014877119884,-0.7902581601212846,0.9687273079343564,0.893643801132788,0.9599999999999996,With Self Activation,5.0
