index,Core Density,CC AB,F1,Team_Strength,Team Size,Impurity,Indegree_Team_A,Indegree_Team_B,Outdegree_Team_A,Outdegree_Team_B,External Network Density
Density_40_TS_5_embed_P30N_C10N_trial_51,40.0,-0.948469471105115,0.7863366666666651,0.1680999999999999,5,0.0,5.0,5.0,100.0,100.0,3.8666666666666663
Density_40_TS_5_embed_P30N_C10N_trial_52,40.0,-0.713625452013162,0.0678266666666643,0.0875,5,0.0,100.0,100.0,35.0,35.0,9.933333333333334
Density_40_TS_5_embed_P30N_C10N_trial_53,40.0,-0.9572175400989656,0.7916599999999964,0.3514,5,0.0,5.0,5.0,35.0,35.0,3.8333333333333335
Density_40_TS_5_embed_P30N_C10N_trial_54,40.0,-0.7983848062302108,0.0644133333333322,0.1546,5,0.0,75.0,75.0,10.0,10.0,5.4
Density_40_TS_5_embed_P30N_C10N_trial_55,40.0,-0.6710371595802693,0.0809499999999976,0.207,5,0.0,60.0,60.0,5.0,5.0,6.4
Density_40_TS_5_embed_P30N_C10N_trial_56,40.0,-0.9836289968712668,0.9592766666666556,0.1661,5,0.0,15.0,15.0,65.0,65.0,4.233333333333333
Density_40_TS_5_embed_P30N_C10N_trial_57,40.0,-0.7683141810459294,0.0214333333333329,0.0949999999999999,5,0.0,95.0,95.0,40.0,40.0,3.533333333333333
Density_40_TS_5_embed_P30N_C10N_trial_58,40.0,-0.9381498907885408,0.7467366666666561,0.2879,5,0.0,10.0,10.0,10.0,10.0,7.633333333333334
Density_40_TS_5_embed_P30N_C10N_trial_59,40.0,-0.848055234282557,0.0365499999999995,0.0668,5,0.0,65.0,65.0,65.0,65.0,8.433333333333334
Density_40_TS_5_embed_P30N_C10N_trial_60,40.0,-0.6172265269098681,0.0707566666666651,0.1376,5,0.0,70.0,70.0,15.0,15.0,4.233333333333333
Density_40_TS_5_embed_P30N_C10N_trial_61,40.0,-0.7902677896272248,0.0257733333333331,0.0521,5,0.0,80.0,80.0,90.0,90.0,7.9
Density_40_TS_5_embed_P30N_C10N_trial_62,40.0,-0.9101868804683948,0.2977066666666634,0.0851,5,0.0,45.0,45.0,65.0,65.0,2.433333333333333
Density_40_TS_5_embed_P30N_C10N_trial_63,40.0,-0.8587979610204087,0.5232866666666387,0.308,5,0.0,20.0,20.0,20.0,20.0,2.1333333333333333
