index,Core Density,CC AB,F1,Self Activation Status,Impurity
80_With Self Activation_Network_26,80,-0.999962467588958,0.9331733333333332,With Self Activation,20.0
80_With Self Activation_Network_27,80,-0.9714760023290134,0.6665966666666666,With Self Activation,20.0
80_With Self Activation_Network_28,80,-0.9361255882812968,0.5553199999999998,With Self Activation,20.0
80_With Self Activation_Network_29,80,-0.9999979884023004,0.99353,With Self Activation,20.0
80_With Self Activation_Network_30,80,-0.9102926431302668,0.7078166666666665,With Self Activation,20.0
80_With Self Activation_Network_31,80,-0.9852901326083032,0.94474,With Self Activation,20.0
80_With Self Activation_Network_32,80,-1.0,0.77792,With Self Activation,20.0
80_With Self Activation_Network_33,80,-0.9272167995772508,0.70533,With Self Activation,20.0
80_With Self Activation_Network_34,80,-0.9862876585181634,0.0,With Self Activation,20.0
80_With Self Activation_Network_35,80,-0.9077565190076178,0.4815033333333333,With Self Activation,20.0
80_With Self Activation_Network_36,80,-0.9982997363826882,0.7857266666666666,With Self Activation,20.0
80_With Self Activation_Network_37,80,-0.9999780734270938,0.9268999999999998,With Self Activation,20.0
80_With Self Activation_Network_38,80,-1.0,0.87273,With Self Activation,20.0
80_With Self Activation_Network_39,80,-0.8478483710809186,0.3858799999999999,With Self Activation,20.0
80_With Self Activation_Network_40,80,-0.94326066405452,0.76265,With Self Activation,20.0
80_With Self Activation_Network_41,80,-0.9994881596834556,0.8232999999999999,With Self Activation,20.0
80_With Self Activation_Network_42,80,-0.917633001478251,0.3958033333333332,With Self Activation,20.0
80_With Self Activation_Network_43,80,-0.9999941634722904,0.9743433333333332,With Self Activation,20.0
80_With Self Activation_Network_44,80,-1.0,0.9343366666666668,With Self Activation,20.0
80_With Self Activation_Network_45,80,-1.0,0.9174333333333332,With Self Activation,20.0
80_With Self Activation_Network_46,80,-0.9537067339624348,0.692,With Self Activation,20.0
80_With Self Activation_Network_47,80,-0.9999023957027022,0.8984866666666667,With Self Activation,20.0
80_With Self Activation_Network_48,80,-0.9656154198052824,0.6346866666666666,With Self Activation,20.0
80_With Self Activation_Network_49,80,-0.9312436870551776,0.58663,With Self Activation,20.0
80_With Self Activation_Network_50,80,-0.8652700166862961,0.61627,With Self Activation,20.0
80_With Self Activation_Network_51,80,-0.8784747932258461,0.3762933333333332,With Self Activation,20.0
80_With Self Activation_Network_52,80,-0.9424230885556883,0.7887033333333333,With Self Activation,20.0
80_With Self Activation_Network_53,80,-0.9018967872047112,0.5510466666666666,With Self Activation,20.0
80_With Self Activation_Network_54,80,-0.9259148105258956,0.78909,With Self Activation,20.0
80_With Self Activation_Network_55,80,-0.8934032137470859,0.6007733333333334,With Self Activation,20.0
80_With Self Activation_Network_56,80,-0.9882162807428524,0.7645899999999999,With Self Activation,20.0
80_With Self Activation_Network_57,80,-0.9212395506312928,3.3333333333333337e-06,With Self Activation,20.0
80_With Self Activation_Network_58,80,-1.0,1.0,With Self Activation,20.0
80_With Self Activation_Network_59,80,-0.9552127052651298,0.7693933333333334,With Self Activation,20.0
80_With Self Activation_Network_60,80,-0.7455195311262622,0.0,With Self Activation,20.0
80_With Self Activation_Network_61,80,-0.9968143457193912,0.74505,With Self Activation,20.0
80_With Self Activation_Network_62,80,-0.983732272908634,0.9695533333333332,With Self Activation,20.0
80_With Self Activation_Network_63,80,-0.9999876677647364,0.94872,With Self Activation,20.0
80_With Self Activation_Network_64,80,-0.8949829009103101,0.5283533333333333,With Self Activation,20.0
80_With Self Activation_Network_65,80,-0.9488754440214854,0.3005866666666665,With Self Activation,20.0
80_With Self Activation_Network_66,80,-0.9929823257326597,0.6503233333333333,With Self Activation,20.0
80_With Self Activation_Network_67,80,-0.9561294519271536,0.7007933333333334,With Self Activation,20.0
80_With Self Activation_Network_68,80,-0.9905662490441542,0.63581,With Self Activation,20.0
80_With Self Activation_Network_69,80,-0.9084093534529436,0.5775666666666666,With Self Activation,20.0
80_With Self Activation_Network_70,80,-0.9999058812365962,0.9947033333333332,With Self Activation,20.0
80_With Self Activation_Network_71,80,-0.9999731257286733,0.97704,With Self Activation,20.0
