index,Type,Core_Density,Peripheral_Nodes,BiC A,BiC B,CC AB,F1 (Average),F1 (Strict),Team Strength,Team Size,Percentage_Impurity
0Indegree80% Density_0 Nodes_0 Edges_83,Lowered Density,80% Density,0 Nodes,0.5089591342958243,0.5125340030671343,0.8588111553284493,2.5867866935692483e-05,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_84,Lowered Density,80% Density,0 Nodes,0.4862189195759049,0.4897676617840446,0.8607502988238277,0.0,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_85,Lowered Density,80% Density,0 Nodes,0.4647240038324873,0.4891091214256541,0.8622363725228368,0.0,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_86,Lowered Density,80% Density,0 Nodes,0.4985495643971052,0.490624015847924,0.8557215812097672,2.594370216629913e-05,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_87,Lowered Density,80% Density,0 Nodes,0.4881159338128724,0.4726726649684447,0.8307310026409412,0.0,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_88,Lowered Density,80% Density,0 Nodes,0.4727759118395809,0.4755141017408986,0.8218841123859163,0.0001110555833194,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_89,Lowered Density,80% Density,0 Nodes,0.5079071127862771,0.4879959916559045,0.857896525594983,5.566224151846595e-05,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_90,Lowered Density,80% Density,0 Nodes,0.5116750515963951,0.4927334968487068,0.8658156526367826,5.45583501554913e-05,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_91,Lowered Density,80% Density,0 Nodes,0.3771218499471755,0.4194959863154809,0.7371898626642409,0.0001959412176347,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_92,Lowered Density,80% Density,0 Nodes,0.543779530884111,0.4945892577243249,0.8512137214109622,0.0001238006809037,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_93,Lowered Density,80% Density,0 Nodes,0.4667679475921017,0.4253571588488347,0.8202704864215206,0.0,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_94,Lowered Density,80% Density,0 Nodes,0.4662608780879834,0.5034679648017285,0.8203820504001285,0.0003017774692941,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_95,Lowered Density,80% Density,0 Nodes,0.5015326316557787,0.4592341547292709,0.831667373155802,2.799238607098869e-05,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_96,Lowered Density,80% Density,0 Nodes,0.4435760099243253,0.4363273324612609,0.7825152880163877,0.0001105021216407,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_97,Lowered Density,80% Density,0 Nodes,0.4242263957900826,0.4464879581279684,0.8132948707970904,2.596121394636413e-05,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_98,Lowered Density,80% Density,0 Nodes,0.4750794122888116,0.4584334826261063,0.8408408213891808,2.8059148685428885e-05,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_99,Lowered Density,80% Density,0 Nodes,0.4773122090676178,0.4481506478078086,0.8144011281154295,0.0001042263796967,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_0,Lowered Density,80% Density,0 Nodes,0.4464974287859563,0.4980777721643831,0.7982673434311162,0.0001880804043728,0.0,0.0248999999999999,5,80% Impurity
0Indegree80% Density_0 Nodes_0 Edges_1,Lowered Density,80% Density,0 Nodes,0.4904421215510892,0.4538586671940494,0.8079208496887073,0.0008932559178204,0.0,0.0258999999999999,5,80% Impurity
0Indegree80% Density_0 Nodes_0 Edges_2,Lowered Density,80% Density,0 Nodes,0.3779825740244114,0.4058169671634281,0.5485515689166396,0.0005278960044871,0.0,0.026,5,80% Impurity
0Indegree80% Density_0 Nodes_0 Edges_3,Lowered Density,80% Density,0 Nodes,0.3760002869046908,0.4227582727985142,0.726882039245759,0.000188738597043,0.0,0.0271,5,80% Impurity
0Indegree80% Density_0 Nodes_0 Edges_4,Lowered Density,80% Density,0 Nodes,0.4032541943577795,0.5231901846148307,0.6796249312952067,0.0010297367892304,0.0,0.0234,5,80% Impurity
0Indegree80% Density_0 Nodes_0 Edges_5,Lowered Density,80% Density,0 Nodes,0.367192548897076,0.4058499404128454,0.6269663031549214,0.0015642356781755,0.0,0.0246999999999999,5,80% Impurity
0Indegree80% Density_0 Nodes_0 Edges_6,Lowered Density,80% Density,0 Nodes,0.4089701326379377,0.4301984324405565,0.7469582090359496,9.243852837862822e-05,0.0,0.0262,5,80% Impurity
0Indegree80% Density_0 Nodes_0 Edges_7,Lowered Density,80% Density,0 Nodes,0.3520096563320661,0.4138658642126501,0.6829644758253403,0.0001797914419273,0.0,0.0267,5,80% Impurity
0Indegree80% Density_0 Nodes_0 Edges_8,Lowered Density,80% Density,0 Nodes,0.3747413348952881,0.3991212977458319,0.6264914393519465,0.000784631349819,0.0,0.0239,5,80% Impurity
0Indegree80% Density_0 Nodes_0 Edges_9,Lowered Density,80% Density,0 Nodes,0.4963919400314415,0.4215280015978236,0.7410924507500355,0.0002919234511839,0.0,0.0241,5,80% Impurity
0Indegree80% Density_0 Nodes_0 Edges_10,Lowered Density,80% Density,0 Nodes,0.5640776277736833,0.525578178278474,0.86756054386409,0.0002381519409383,0.0,0.0284,5,80% Impurity
0Indegree80% Density_0 Nodes_0 Edges_11,Lowered Density,80% Density,0 Nodes,0.4798271380610514,0.4791839455302866,0.6970597383517791,0.000984604368063,0.0,0.0233,5,80% Impurity
0Indegree80% Density_0 Nodes_0 Edges_12,Lowered Density,80% Density,0 Nodes,0.4924556921466559,0.5269505783993754,0.763585030885795,0.0006486598687112,0.0,0.0228999999999999,5,80% Impurity
0Indegree80% Density_0 Nodes_0 Edges_13,Lowered Density,80% Density,0 Nodes,0.478510389522863,0.4158992459608754,0.7081034460420946,0.0007530860155201,0.0,0.0277,5,80% Impurity
0Indegree80% Density_0 Nodes_0 Edges_14,Lowered Density,80% Density,0 Nodes,0.4116847076717939,0.4806112559998137,0.7781502876208164,0.0001007083151498,0.0,0.0254,5,80% Impurity
0Indegree80% Density_0 Nodes_0 Edges_15,Lowered Density,80% Density,0 Nodes,0.4973262122266086,0.4553190921420637,0.7988807229327048,6.23616351220729e-05,0.0,0.0246,5,80% Impurity
0Indegree80% Density_0 Nodes_0 Edges_16,Lowered Density,80% Density,0 Nodes,0.4673319982836078,0.5387584006149452,0.7492039393285937,0.0001878561439395,0.0,0.026,5,80% Impurity
0Indegree80% Density_0 Nodes_0 Edges_17,Lowered Density,80% Density,0 Nodes,0.4219269320932728,0.3981873694489766,0.7740152218268985,0.0001773274224192,0.0,0.0273,5,80% Impurity
0Indegree80% Density_0 Nodes_0 Edges_18,Lowered Density,80% Density,0 Nodes,0.3511410930634741,0.3571435980283263,0.5789843483389027,0.0015484485736406,0.0,0.0211999999999999,5,80% Impurity
0Indegree80% Density_0 Nodes_0 Edges_19,Lowered Density,80% Density,0 Nodes,0.4274139798606883,0.3580544840607522,0.6819737987645099,0.0004760501439484,0.0,0.0252,5,80% Impurity
0Indegree80% Density_0 Nodes_0 Edges_20,Lowered Density,80% Density,0 Nodes,0.3814849710094612,0.3752901608292243,0.7417428506495113,0.0001252478864419,0.0,0.0243999999999999,5,80% Impurity
0Indegree80% Density_0 Nodes_0 Edges_21,Lowered Density,80% Density,0 Nodes,0.4058630325348265,0.4683236854509245,0.4747833518937909,0.0073613935803342,0.0,0.0217999999999999,5,80% Impurity
