,index,Team Size,CC AB,F1,Team_Strength,Core Density,Impurity,Self Activation Status
18,Random_Network_Density_above_20p_Impurity_below_40p_19,5,-1.0,1.0,0.22820000000000001,88.0,13.636363636363637,With Self Activation
19,Random_Network_Density_above_20p_Impurity_below_40p_20,5,-0.9271265478017723,0.48809333333333316,0.0945,52.0,23.076923076923077,With Self Activation
20,Random_Network_Density_above_20p_Impurity_below_40p_21,5,-0.8081924153928953,0.0,0.0484,40.0,30.0,With Self Activation
21,Random_Network_Density_above_20p_Impurity_below_40p_22,5,-0.5732715051032564,0.00011333333333333334,0.050699999999999995,84.0,33.333333333333336,With Self Activation
22,Random_Network_Density_above_20p_Impurity_below_40p_23,5,-0.2701130302346375,0.1687999999999999,0.03799999999999999,80.0,35.0,With Self Activation
23,Random_Network_Density_above_20p_Impurity_below_40p_24,5,-1.0,1.0,0.07849999999999999,88.0,27.272727272727273,With Self Activation
24,Random_Network_Density_above_20p_Impurity_below_40p_25,5,-0.8947614074703725,0.3088299999999999,0.145,44.0,18.181818181818183,With Self Activation
25,Random_Network_Density_above_20p_Impurity_below_40p_26,5,-0.9999979545675509,0.9898833333333334,0.956,56.00000000000001,0.0,With Self Activation
26,Random_Network_Density_above_20p_Impurity_below_40p_27,5,-0.9911189458145588,0.0008066666666666,0.056299999999999996,48.0,25.0,With Self Activation
27,Random_Network_Density_above_20p_Impurity_below_40p_28,5,-0.9994156367526275,7.666666666666667e-05,0.0288,68.0,35.29411764705882,With Self Activation
28,Random_Network_Density_above_20p_Impurity_below_40p_29,5,-0.9703909513994575,0.015873333333333198,0.12140000000000001,48.0,25.0,With Self Activation
29,Random_Network_Density_above_20p_Impurity_below_40p_30,5,-0.26310049752778886,0.0,0.0836,20.0,20.0,With Self Activation
30,Random_Network_Density_above_20p_Impurity_below_40p_31,5,-0.9963125068163935,0.8740899999999998,0.5227999999999999,60.0,6.666666666666667,With Self Activation
31,Random_Network_Density_above_20p_Impurity_below_40p_32,5,-0.9999986348910924,0.9911533333333332,0.6434,88.0,4.545454545454546,With Self Activation
32,Random_Network_Density_above_20p_Impurity_below_40p_33,5,-1.0,0.9999999999999999,0.26649999999999996,88.0,13.636363636363637,With Self Activation
33,Random_Network_Density_above_20p_Impurity_below_40p_34,5,-0.8944380910692306,0.5002699999999999,0.0733,92.0,30.434782608695656,With Self Activation
34,Random_Network_Density_above_20p_Impurity_below_40p_35,5,-0.9411193721158447,0.5678399999999999,0.4027,48.0,8.333333333333334,With Self Activation
35,Random_Network_Density_above_20p_Impurity_below_40p_36,5,-0.9352274963361689,0.5547233333333335,0.35760000000000003,60.0,6.666666666666667,With Self Activation
36,Random_Network_Density_above_20p_Impurity_below_40p_37,5,-0.9354488034426647,0.5768766666666666,0.19,48.0,16.666666666666668,With Self Activation
37,Random_Network_Density_above_20p_Impurity_below_40p_38,5,-0.9995765522030374,0.9061133333333333,0.8650000000000001,24.0,0.0,With Self Activation
38,Random_Network_Density_above_20p_Impurity_below_40p_39,5,-0.9999925314645142,0.9802,0.9279999999999999,40.0,0.0,With Self Activation
39,Random_Network_Density_above_20p_Impurity_below_40p_40,5,-0.9770368273979811,0.0,0.033600000000000005,88.0,36.36363636363637,With Self Activation
40,Random_Network_Density_above_20p_Impurity_below_40p_41,5,-0.9998240700442274,0.9435566666666666,0.4328,60.0,6.666666666666667,With Self Activation
41,Random_Network_Density_above_20p_Impurity_below_40p_42,5,-0.9024973429424946,0.3067233333333333,0.0627,48.0,25.0,With Self Activation
42,Random_Network_Density_above_20p_Impurity_below_40p_43,5,-0.8334991803589681,0.4546933333333333,0.19390000000000002,84.0,14.285714285714286,With Self Activation
43,Random_Network_Density_above_20p_Impurity_below_40p_44,5,-1.0,0.8768833333333333,0.04220000000000001,80.0,30.0,With Self Activation
44,Random_Network_Density_above_20p_Impurity_below_40p_45,5,-0.9183417308373802,0.3581766666666665,0.34040000000000004,44.0,9.090909090909092,With Self Activation
45,Random_Network_Density_above_20p_Impurity_below_40p_46,5,-0.9999617488279533,0.9732433333333332,0.98,80.0,0.0,With Self Activation
46,Random_Network_Density_above_20p_Impurity_below_40p_47,5,-0.9126163257663586,0.4197099999999999,0.0493,72.0,33.333333333333336,With Self Activation
47,Random_Network_Density_above_20p_Impurity_below_40p_48,5,-0.9605963693743277,1e-05,0.0184,32.0,37.5,With Self Activation
48,Random_Network_Density_above_20p_Impurity_below_40p_49,5,-0.9999963746853624,0.9812166666666666,0.9549999999999998,56.00000000000001,0.0,With Self Activation
49,Random_Network_Density_above_20p_Impurity_below_40p_50,5,-0.2944091933719673,3.3333333333333337e-06,0.016,52.0,38.46153846153846,With Self Activation
50,Random_Network_Density_above_20p_Impurity_below_40p_51,5,-0.9580169057631586,2e-05,0.021799999999999993,92.0,39.130434782608695,With Self Activation
51,Random_Network_Density_above_20p_Impurity_below_40p_52,5,-0.9989854874346049,0.9132466666666665,0.4875,68.0,5.88235294117647,With Self Activation
52,Random_Network_Density_above_20p_Impurity_below_40p_53,5,-0.8184227883885025,0.0,0.0337,88.0,36.36363636363637,With Self Activation
53,Random_Network_Density_above_20p_Impurity_below_40p_54,5,-0.8546863255804359,0.2943333333333332,0.054099999999999995,76.0,31.57894736842105,With Self Activation
54,Random_Network_Density_above_20p_Impurity_below_40p_55,5,-0.8973786033820029,0.5906066666666667,0.9179999999999998,36.0,0.0,With Self Activation
55,Random_Network_Density_above_20p_Impurity_below_40p_56,5,-0.6169087863426306,0.2015033333333333,0.06340000000000001,56.00000000000001,28.57142857142857,With Self Activation
56,Random_Network_Density_above_20p_Impurity_below_40p_57,5,-0.9999999999999999,1.0,0.988,88.0,0.0,With Self Activation
57,Random_Network_Density_above_20p_Impurity_below_40p_58,5,-0.999940890022645,0.9508433333333333,0.9539999999999998,56.00000000000001,0.0,With Self Activation
58,Random_Network_Density_above_20p_Impurity_below_40p_59,5,-0.9999663071771232,0.97205,0.2054,80.0,15.0,With Self Activation
59,Random_Network_Density_above_20p_Impurity_below_40p_60,5,-0.6204701718589091,0.0,0.0112,20.0,40.0,With Self Activation
60,Random_Network_Density_above_20p_Impurity_below_40p_61,5,-1.0,1.0,0.9639999999999999,64.0,0.0,With Self Activation
61,Random_Network_Density_above_20p_Impurity_below_40p_62,5,-0.2567110643672507,0.0,0.0257,20.0,40.0,With Self Activation
62,Random_Network_Density_above_20p_Impurity_below_40p_63,5,-0.873541133646518,0.0,0.029299999999999993,32.0,37.5,With Self Activation
63,Random_Network_Density_above_20p_Impurity_below_40p_64,5,-0.9997486627015603,0.9462266666666665,0.9389999999999998,48.0,0.0,With Self Activation
64,Random_Network_Density_above_20p_Impurity_below_40p_65,5,-0.7938147430653344,0.2884233333333332,0.17950000000000005,32.0,12.5,With Self Activation
65,Random_Network_Density_above_20p_Impurity_below_40p_66,5,-0.9195707910466319,0.08619666666666659,0.0503,92.0,34.78260869565217,With Self Activation
66,Random_Network_Density_above_20p_Impurity_below_40p_67,5,-1.0,1.0,0.4151000000000001,100.0,8.0,With Self Activation
67,Random_Network_Density_above_20p_Impurity_below_40p_68,5,0.5885882255937237,0.0015266666666666,0.025200000000000004,44.0,36.36363636363637,With Self Activation
68,Random_Network_Density_above_20p_Impurity_below_40p_69,5,-1.0,0.9999999999999999,0.6538999999999998,100.0,4.0,With Self Activation
69,Random_Network_Density_above_20p_Impurity_below_40p_70,5,-0.9999919883062307,0.96774,0.36330000000000007,88.0,9.090909090909092,With Self Activation
70,Random_Network_Density_above_20p_Impurity_below_40p_71,5,-1.0,0.0,0.0432,100.0,36.0,With Self Activation
71,Random_Network_Density_above_20p_Impurity_below_40p_72,5,-0.9559206130826194,0.00020333333333326668,0.0538,88.0,31.818181818181824,With Self Activation
