,Unnamed: 0,index,Team Size,CC AB,F1,Team_Strength,Core Density,Impurity,Self Activation Status,log(Team Strength)
656,656,Random_Network_Density_above_20p_Impurity_below_40p_657,5,-1.0,1.0,0.1326,60.0,20.0,With Self Activation,-2.020418201230375
657,657,Random_Network_Density_above_20p_Impurity_below_40p_658,5,-0.0550374468183171,0.0,0.0099,44.0,63.63636363636365,With Self Activation,-4.615220521841593
658,658,Random_Network_Density_above_20p_Impurity_below_40p_659,5,-0.9999961538453886,0.9875,0.3667,84.0,9.523809523809524,With Self Activation,-1.0032112039048566
659,659,Random_Network_Density_above_20p_Impurity_below_40p_660,5,0.3734672309561083,0.0,0.043,32.0,100.0,With Self Activation,-3.146555163288575
660,660,Random_Network_Density_above_20p_Impurity_below_40p_661,5,-0.5556757818677799,0.0,0.0112,32.0,50.0,With Self Activation,-4.491841500681089
661,661,Random_Network_Density_above_20p_Impurity_below_40p_662,5,0.9998108051450368,0.0,0.035,64.0,100.0,With Self Activation,-3.3524072174927233
662,662,Random_Network_Density_above_20p_Impurity_below_40p_663,5,-1.0,1.0,0.4115000000000001,92.0,8.695652173913043,With Self Activation,-0.8879462588650123
663,663,Random_Network_Density_above_20p_Impurity_below_40p_664,5,0.9121423282338244,0.0,0.0419999999999999,20.0,100.0,With Self Activation,-3.170085660698771
664,664,Random_Network_Density_above_20p_Impurity_below_40p_665,5,0.9586752332496076,0.0,0.0273,84.0,90.47619047619048,With Self Activation,-3.600868576791223
665,665,Random_Network_Density_above_20p_Impurity_below_40p_666,5,0.2306259165968973,0.0,0.0078,44.0,45.45454545454545,With Self Activation,-4.853631545286591
666,666,Random_Network_Density_above_20p_Impurity_below_40p_667,5,-0.4977453847856101,0.0,0.0214,36.0,44.44444444444444,With Self Activation,-3.844364356954331
667,667,Random_Network_Density_above_20p_Impurity_below_40p_668,5,-0.9951058557468108,0.8893166666666665,0.1795999999999999,100.0,16.0,With Self Activation,-1.7170231231140385
668,668,Random_Network_Density_above_20p_Impurity_below_40p_669,5,0.9246294126492158,0.0,0.0212,76.0,42.10526315789474,With Self Activation,-3.8537540973041704
669,669,Random_Network_Density_above_20p_Impurity_below_40p_670,5,-0.9999206069905532,0.9609466666666666,0.972,72.0,0.0,With Self Activation,-0.028399474521698
670,670,Random_Network_Density_above_20p_Impurity_below_40p_671,5,0.9521543925845772,0.0,0.011,44.0,81.81818181818181,With Self Activation,-4.509860006183766
671,671,Random_Network_Density_above_20p_Impurity_below_40p_672,5,0.9444134399525268,0.0,0.0148,84.0,61.90476190476191,With Self Activation,-4.213128098212068
672,672,Random_Network_Density_above_20p_Impurity_below_40p_673,5,0.3437456100851329,0.0,0.0093,68.0,58.8235294117647,With Self Activation,-4.677740878822926
673,673,Random_Network_Density_above_20p_Impurity_below_40p_674,5,-0.8472401370251287,0.64586,0.3393,36.0,11.11111111111111,With Self Activation,-1.0808706071919527
674,674,Random_Network_Density_above_20p_Impurity_below_40p_675,5,-0.4623845024936517,0.0945866666666666,0.0301,20.0,20.0,With Self Activation,-3.503230107227307
675,675,Random_Network_Density_above_20p_Impurity_below_40p_676,5,-0.8914667132366766,0.1664833333333333,0.1479,64.0,18.75,With Self Activation,-1.9112189092653828
676,676,Random_Network_Density_above_20p_Impurity_below_40p_677,5,-0.9216014465870046,0.3938199999999999,0.0999,100.0,24.0,With Self Activation,-2.3035855933276292
677,677,Random_Network_Density_above_20p_Impurity_below_40p_678,5,-0.8952760912151837,0.0,0.1130999999999999,44.0,18.181818181818183,With Self Activation,-2.179482895860063
678,678,Random_Network_Density_above_20p_Impurity_below_40p_679,5,-0.6156291742702932,0.0233466666666666,0.0945999999999999,20.0,20.0,With Self Activation,-2.3580978029243056
679,679,Random_Network_Density_above_20p_Impurity_below_40p_680,5,-0.9764752412104352,0.72035,0.0890999999999999,68.0,23.52941176470588,With Self Activation,-2.4179959445053747
680,680,Random_Network_Density_above_20p_Impurity_below_40p_681,5,0.9974695007144864,0.0,0.012,88.0,100.0,With Self Activation,-4.422848629194137
681,681,Random_Network_Density_above_20p_Impurity_below_40p_682,5,0.9900037471347704,0.0,0.0050999999999999,64.0,50.0,With Self Activation,-5.278514739251877
682,682,Random_Network_Density_above_20p_Impurity_below_40p_683,5,-0.999979630668661,0.9727466666666666,0.9429999999999998,48.0,0.0,With Self Activation,-0.05868899634867973
683,683,Random_Network_Density_above_20p_Impurity_below_40p_684,5,-0.5699594243095157,0.0,0.0076999999999999,20.0,40.0,With Self Activation,-4.866534950122512
684,684,Random_Network_Density_above_20p_Impurity_below_40p_685,5,0.7792958568006029,0.0,0.0073,72.0,44.44444444444444,With Self Activation,-4.919880930827792
